"cod_cliente";"primeira_assinatura";"valor_ativo_total";"valor_cancelado_total";"qtd_contratos_ativos";"qtd_contratos_cancelados";"flg_ja_sofreu_downgrade";"qtd_tarefas_total";"dias_ultima_tarefa";"tarefas_90d";"media_dias_exec";"qtd_tarefas_abertas";"qtd_categorias_distintas";"qtd_subcategorias_distintas";"qtd_grupos_envolvidos";"qt_tarefas_bug";"qt_tarefas_reducao";"qtd_prioridade_normal";"qtd_prioridade_parcial";"qtd_prioridade_urgente";"qtd_prioridade_maxima";"qtd_prioridade_reforco";"perc_prioridade_maxima";"perc_tarefas_abertas";"churn"
"37761";"2017-08-10";"0,00";"99,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37764";"2017-08-25";"0,00";"719,12";"0";"1";"0";"12";"1759";"0";"56,2500";"0";"8";"8";"6";"0";"0";"12";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37770";"2017-08-05";"0,00";"158,00";"0";"1";"0";"4";"2564";"0";"7,7500";"0";"2";"3";"1";"0";"0";"4";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37771";"2017-08-07";"0,00";"158,00";"0";"1";"0";"3";"2767";"0";"3,3333";"0";"3";"3";"2";"0";"0";"3";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37779";"2017-09-28";"951,07";"0,00";"1";"0";"0";"44";"441";"0";"15,2273";"0";"13";"21";"10";"0";"0";"39";"0";"4";"1";"0";"2,2700";"0,0000";"0"
"37785";"2017-08-14";"0,00";"99,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37788";"2017-08-25";"10293,47";"0,00";"2";"0";"0";"914";"6";"29";"14,8536";"3";"47";"176";"28";"13";"3";"867";"9";"25";"12";"1";"1,3100";"0,3300";"0"
"37793";"2017-08-04";"0,00";"99,00";"0";"1";"0";"1";"2536";"0";"7,0000";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37806";"2017-08-25";"0,00";"81,66";"0";"1";"0";"8";"2645";"0";"15,6250";"0";"6";"6";"3";"0";"0";"8";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37811";"2017-10-05";"0,00";"79,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37813";"2017-08-10";"0,00";"99,00";"0";"1";"0";"2";"2763";"0";"3,0000";"0";"2";"2";"2";"0";"0";"2";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37814";"2017-08-11";"7191,93";"0,00";"2";"0";"0";"1348";"1";"65";"14,8837";"3";"50";"212";"27";"50";"3";"1275";"16";"33";"24";"0";"1,7800";"0,2200";"0"
"37815";"2017-08-12";"0,00";"316,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37816";"2017-08-18";"0,00";"158,00";"0";"1";"0";"2";"2784";"0";"1,5000";"0";"1";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37843";"2017-09-06";"0,00";"237,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37848";"2017-11-16";"0,00";"586,74";"0";"1";"0";"19";"803";"0";"6,3684";"0";"3";"10";"5";"0";"0";"18";"0";"1";"0";"0";"0,0000";"0,0000";"1"
"37850";"2017-11-22";"0,00";"79,00";"0";"1";"0";"2";"2592";"0";"11,5000";"0";"2";"2";"2";"0";"0";"2";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37851";"2017-08-15";"0,00";"405,01";"0";"1";"0";"1";"3164";"0";"525,0000";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37856";"2017-08-16";"0,00";"158,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
