cod_cliente,churn_real,churn_predito,probabilidade_churn,diagnostico,flg_ja_sofreu_downgrade,qtd_tarefas_total,dias_ultima_tarefa,tarefas_90d,media_dias_exec,qtd_tarefas_abertas,qtd_categorias_distintas,qt_tarefas_bug,qt_tarefas_reducao,qtd_prioridade_reforco,perc_prioridade_maxima,perc_tarefas_abertas,meses_de_casa
12178,0,1,0.9723076537643112,Falso Positivo (Alarme Falso),0,24,317,0,41.4167,0,7,0,0,0,0.0,0.0,251
43385,0,1,0.9721114304633017,Falso Positivo (Alarme Falso),0,1,758,0,259.0,0,1,0,0,0,0.0,0.0,23
17692,0,1,0.9680053438439796,Falso Positivo (Alarme Falso),0,12,495,0,63.8333,0,4,0,0,0,0.0,0.0,201
11992,0,1,0.9638997610069541,Falso Positivo (Alarme Falso),0,22,100,0,103.1818,0,9,0,0,0,0.0,0.0,181
45814,0,1,0.9542207456981753,Falso Positivo (Alarme Falso),0,3,600,0,221.0,0,2,0,0,0,0.0,0.0,19
16558,0,1,0.9491191591413655,Falso Positivo (Alarme Falso),0,18,106,0,4.2778,0,5,0,0,0,0.0,0.0,195
8431,0,1,0.9383712965508704,Falso Positivo (Alarme Falso),0,17,343,0,8.2941,0,4,0,0,0,5.88,0.0,182
18036,0,1,0.9380676220654737,Falso Positivo (Alarme Falso),0,44,114,0,24.9545,0,9,0,0,0,11.36,0.0,199
16471,0,1,0.9358634429404389,Falso Positivo (Alarme Falso),0,11,450,0,121.9091,0,4,0,0,0,0.0,0.0,94
46148,0,1,0.8955420127339968,Falso Positivo (Alarme Falso),0,2,99,0,14.5,0,2,0,0,0,0.0,0.0,95
773,0,1,0.8944396606261621,Falso Positivo (Alarme Falso),0,38,373,0,8.5263,0,8,0,0,0,5.26,0.0,194
20790,0,1,0.891610642028998,Falso Positivo (Alarme Falso),0,12,449,0,2.9167,0,5,0,0,0,0.0,0.0,175
8775,0,1,0.8858097960783603,Falso Positivo (Alarme Falso),0,41,425,0,23.0732,0,7,0,0,0,0.0,0.0,172
18531,0,1,0.8800018604870138,Falso Positivo (Alarme Falso),0,11,840,0,0.9091,0,4,0,0,0,0.0,0.0,195
129,0,1,0.8700902640977954,Falso Positivo (Alarme Falso),0,52,198,0,5.75,0,11,1,0,0,5.77,0.0,193
20447,0,1,0.8675169472648445,Falso Positivo (Alarme Falso),0,23,253,0,30.1304,0,10,0,0,0,4.35,0.0,174
9204,0,1,0.8629555205255254,Falso Positivo (Alarme Falso),0,11,817,0,2.2727,0,4,0,0,0,0.0,0.0,181
12212,0,1,0.8583210866877212,Falso Positivo (Alarme Falso),0,58,226,0,42.6034,0,14,0,0,0,0.0,0.0,206
37729,0,1,0.8344523294027869,Falso Positivo (Alarme Falso),0,54,112,0,40.0,0,8,0,0,0,1.85,0.0,105
36926,0,1,0.8297358273359725,Falso Positivo (Alarme Falso),0,34,212,0,6.3529,0,5,0,0,0,0.0,0.0,109
16677,0,1,0.8234952262163403,Falso Positivo (Alarme Falso),0,30,100,0,27.8667,0,7,0,0,0,0.0,0.0,102
21324,0,1,0.8195306654184774,Falso Positivo (Alarme Falso),0,5,265,0,5.0,0,5,0,0,0,0.0,0.0,115
9090,0,1,0.8191643151234592,Falso Positivo (Alarme Falso),0,15,180,0,14.8,0,5,0,0,0,0.0,0.0,96
23339,0,1,0.8188236146482242,Falso Positivo (Alarme Falso),0,46,261,0,4.0435,0,8,0,0,0,0.0,0.0,148
35954,0,1,0.8062632921128582,Falso Positivo (Alarme Falso),0,4,1688,0,12.0,0,1,0,0,0,75.0,0.0,114
36931,0,1,0.8013438846095817,Falso Positivo (Alarme Falso),0,17,323,0,9.2353,0,5,0,0,0,0.0,0.0,107
25700,0,1,0.7988410252999733,Falso Positivo (Alarme Falso),0,30,426,0,25.0,0,8,0,0,0,6.67,0.0,132
17731,0,1,0.7924899551083991,Falso Positivo (Alarme Falso),0,8,232,0,83.875,0,4,0,0,0,0.0,0.0,15
84,0,1,0.7854027132672865,Falso Positivo (Alarme Falso),0,9,411,0,21.0,0,4,0,0,0,11.11,0.0,75
36105,0,1,0.7799645638835008,Falso Positivo (Alarme Falso),0,28,363,0,3.3929,0,6,0,0,0,3.57,0.0,115
37344,0,1,0.779063634301824,Falso Positivo (Alarme Falso),0,24,345,0,2.0833,0,5,0,0,0,4.17,0.0,101
8266,0,1,0.7774195648846641,Falso Positivo (Alarme Falso),0,19,156,0,12.1579,0,5,0,0,0,15.79,0.0,61
27318,0,1,0.7767279134275368,Falso Positivo (Alarme Falso),0,18,401,0,5.7222,0,7,0,0,0,11.11,0.0,122
