cod_cliente,churn_real,churn_predito,probabilidade_churn,diagnostico,flg_ja_sofreu_downgrade,qtd_tarefas_total,dias_ultima_tarefa,tarefas_90d,media_dias_exec,qtd_tarefas_abertas,qtd_categorias_distintas,qt_tarefas_bug,qt_tarefas_reducao,qtd_prioridade_reforco,perc_prioridade_maxima,perc_tarefas_abertas,meses_de_casa
41247,1,0,0.43767356170282407,Falso Negativo (Churn Invisível),0,25,427,0,27.2,0,12,0,0,0,4.0,0.0,88
18537,1,0,0.4618510660695997,Falso Negativo (Churn Invisível),0,24,373,0,7.7083,0,10,0,0,0,0.0,0.0,78
41177,1,0,0.4677417648230452,Falso Negativo (Churn Invisível),0,31,481,0,42.0,0,12,0,0,0,0.0,0.0,84
45626,1,0,0.4701495657874846,Falso Negativo (Churn Invisível),0,17,471,0,28.8824,0,8,0,0,0,5.88,0.0,25
35829,1,0,0.47098176178202406,Falso Negativo (Churn Invisível),0,112,588,0,7.1696,0,16,0,0,0,5.36,0.0,111
41375,1,0,0.47272211564760297,Falso Negativo (Churn Invisível),0,55,576,0,18.7273,0,13,0,0,0,0.0,0.0,83
43760,1,0,0.4774678673347891,Falso Negativo (Churn Invisível),0,24,216,0,5.6667,0,7,0,0,0,0.0,0.0,59
45699,1,0,0.47836387378818146,Falso Negativo (Churn Invisível),0,9,117,0,27.4444,0,4,0,0,0,11.11,0.0,23
45568,1,0,0.47941277806724786,Falso Negativo (Churn Invisível),0,14,495,0,28.2143,0,8,0,0,0,7.14,0.0,26
42801,1,0,0.4811259255455113,Falso Negativo (Churn Invisível),0,36,777,0,4.9444,0,13,0,0,0,25.0,0.0,62
21840,1,0,0.48890213992185083,Falso Negativo (Churn Invisível),0,22,51,1,90.0909,0,9,0,0,0,0.0,0.0,162
11391,1,0,0.4904309645804575,Falso Negativo (Churn Invisível),0,144,686,0,11.5486,0,21,0,0,0,9.03,0.0,175
40193,1,0,0.4991288247239424,Falso Negativo (Churn Invisível),0,25,155,0,26.28,0,8,0,0,0,0.0,0.0,90
