"cod_cliente";"primeira_assinatura";"valor_ativo_total";"valor_cancelado_total";"qtd_contratos_ativos";"qtd_contratos_cancelados";"flg_ja_sofreu_downgrade";"tarefas_90d";"qtd_tarefas_total";"media_dias_exec";"qt_tarefas_sd";"media_dias_exec_tarefa_sd";"qt_tarefas_hd";"media_dias_exec_tarefa_hd";"qt_tarefas_reclamacao";"media_dias_exec_reclamacao";"qt_tarefas_reducao";"media_dias_exec_reducao";"qt_tarefas_bug";"media_dias_exec_bug";"dias_ultima_tarefa";"qtd_categorias_distintas";"qtd_subcategorias_distintas";"qtd_grupos_envolvidos";"qtd_prioridade_normal";"qtd_prioridade_parcial";"qtd_prioridade_urgente";"qtd_prioridade_maxima";"qtd_prioridade_reforco";"perc_prioridade_maxima";"churn"
"22712";"2014-01-20";"0,00";"1875,84";"0";"1";"0";"0";"123";"11,1951";"7";"6,4286";"25";"7,2000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"498";"16";"19";"9";"120";"0";"1";"2";"0";"1,6300";"1"
"22740";"2013-07-15";"0,00";"880,09";"0";"1";"0";"0";"28";"9,4643";"4";"15,5000";"12";"11,9167";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"6";"5";"8";"28";"0";"0";"0";"0";"0,0000";"1"
"22770";"2016-05-05";"1551,54";"0,00";"1";"0";"0";"0";"138";"31,4420";"13";"7,7692";"65";"6,7077";"0";"0,0000";"0";"0,0000";"0";"0,0000";"112";"19";"39";"18";"135";"1";"1";"1";"0";"0,7200";"0"
"22778";"2013-06-24";"0,00";"1030,91";"0";"1";"0";"0";"3";"14,3333";"0";"0,0000";"3";"14,3333";"0";"0,0000";"0";"0,0000";"0";"0,0000";"2";"3";"1";"1";"3";"0";"0";"0";"0";"0,0000";"1"
"22779";"2013-08-06";"0,00";"235,00";"0";"1";"0";"0";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"1"
"22784";"2019-04-03";"0,00";"469,72";"0";"2";"0";"0";"38";"44,1892";"8";"23,5000";"20";"19,4737";"0";"0,0000";"0";"0,0000";"0";"0,0000";"82";"10";"17";"12";"37";"0";"0";"1";"0";"2,6300";"1"
"22796";"2014-03-01";"0,00";"122,37";"0";"1";"0";"0";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"436";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"1"
"22797";"2014-01-23";"0,00";"138,54";"0";"1";"0";"0";"9";"14,2222";"2";"12,0000";"4";"17,7500";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"7";"1";"5";"9";"0";"0";"0";"0";"0,0000";"1"
"22847";"2024-08-15";"2373,56";"0,00";"1";"0";"0";"12";"143";"9,6286";"6";"8,6667";"95";"1,0430";"0";"0,0000";"0";"0,0000";"1";"0,0000";"1";"23";"39";"16";"141";"1";"1";"0";"0";"0,0000";"0"
"22859";"2013-07-30";"0,00";"158,00";"0";"1";"0";"0";"16";"6,8750";"1";"1,0000";"9";"8,3333";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"7";"2";"6";"16";"0";"0";"0";"0";"0,0000";"1"
"22865";"2013-10-15";"0,00";"222,48";"0";"1";"0";"0";"3";"8,0000";"0";"0,0000";"2";"9,5000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"139";"3";"1";"2";"3";"0";"0";"0";"0";"0,0000";"1"
"22878";"2015-05-12";"0,00";"79,00";"0";"1";"0";"0";"2";"5,5000";"0";"0,0000";"2";"5,5000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"2";"1";"1";"2";"0";"0";"0";"0";"0,0000";"1"
"22883";"2019-07-05";"0,00";"200,92";"0";"1";"0";"0";"75";"13,3649";"8";"21,7500";"41";"3,6098";"0";"0,0000";"1";"1,0000";"0";"0,0000";"0";"18";"26";"14";"69";"1";"2";"3";"0";"4,0000";"1"
